Place,X-coord,Y-coord,Rooms,CommonR,Sauna,m^2,Age,Price
Ketokivenkaari 6,60.2310647,25.0176588,2H+K,2,0,"53,5 m²",1984,949 €/kk 
Kyytimiehenkatu 1 E,60.2617514,25.0680844,2h+kt+FRENCHBALCONY,2,0,47 m²,2018,849 €/kk 
Länsisatamankatu 31 A,60.156048,24.912702,1h+avok+kph+lasitettu parveke,1,0,"27,5 m²",2023,868 €/kk 
Kadetintie 18 A,60.1975972,24.881224,1h + k,1,0,36 m²,1936,950 €/kk 
Raaseporintie 1 C,60.2097025,25.0745301,2h+k+kph+lasitettu parveke,2,0,49 m²,1962,790 €/kk 
Länsisatamankatu 31 B,60.156048,24.912702,2h+kt+s,2,1,"55,5 m²",2023,1 378 €/kk 
Rekipellontie 2 F 60,60.23833519999999,25.0991291,2h+kk+lasitettu parv.,2,0,42 m²,1990,840 €/kk 
Kurkimäentie 1 C,60.22848759999999,25.0722466,2h+kk,2,0,52 m²,1984,829 €/kk 
Taimistontie 4a,60.21758430000001,24.8667093,3H+K+S,3,1,"67,5 m²",1999,1 199 €/kk 
Kaivonkatsojantie 13 A,60.20276610000001,25.1360333,2h+ak+kph+s+lp,2,1,"43,5 m²",1995,840 €/kk 
Adolf Lindforsin tie 3 A,60.22973129999999,24.8931785,1h + kk,1,0,"23,5 m²",1956,650 €/kk 
Ajomiehentie 8 B,60.2384242,24.8496451,2h+k,2,0,"50,5 m²",2011,929 €/kk 
Tapulikaupungintie  13,60.27708680000001,25.0351375,2H+K+S,2,1,"38,5 m²",2000,850 €/kk 
Kuninkaantammenkierto 21 B 28,60.2588098,24.8929838,3h+kt,3,0,"63,5 m²",2023,1 140 €/kk 
Lapinmäentie 8,60.20797200000001,24.8820419,2H+KT,2,0,46 m²,2023,1 139 €/kk 
Suopellonkaari 61 C,60.234574,24.9378251,1h+kk,1,0,38 m²,2013,849 €/kk 
HUOPALAHDENTIE 27 B,60.20760250000001,24.8799301,2 H + KT,2,0,36 m²,2020,976 €/kk 
Ylä-Malmin tori 3,60.25242129999999,25.0093935,2H+KK,2,0,"39,5 m²",1988,979 €/kk 
Hermannin rantatie 3A,60.1867956,24.9775423,2h+kt,2,0,"37,5 m²",2023,1 255 €/kk 
Paatsamatie 14 B,60.22239579999999,24.8911501,1h+kt,1,0,"31,5 m²",2023,869 €/kk 
Paahtajankuja 1 A,60.20616099999999,25.1493181,1h+kt,1,0,"41,5 m²",2016,879 €/kk 
Huopalahdentie 31 A,60.20868650000001,24.8797181,2h+kt,2,0,"41,5 m²",2023,975 €/kk 
Tapulikaupungintie  13,60.27708680000001,25.0351375,2H+KK+S,2,1,"43,5 m²",2000,875 €/kk 
Näyttelijäntie 24 H,60.23249769999999,24.8925323,2h+kt,2,0,"49,5 m²",1959,949 €/kk 
